drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0031,CVCL_0062,CVCL_0418,CVCL_0419,CVCL_1425,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0033,CVCL_0532,CVCL_0098,CVCL_0553,CVCL_0006,CVCL_0588
AFATINIB,0.44440309269616063,0.14613216017663522,0.3184642774866676,0.22780219491435516,0.03185831211039125,0.4170273917861971,0.1330269874754161,0.0035885009863005327,0.14299618157418728,0.3220896784072159,0.19902799123962164,0.3479180485836437,0.1217881018037185,0.5160065840354013,0.0008876588358414723,0.06211738779035449,0.2234016117543313,0.2752186935281006,0.22041489240503415,0.47418598120399796,0.28921557294735273,0.019759228060314424,0.0029212744320499737,0.07926992578722591,0.007452833189079509,0.0580068842284465,0.03803771737484169,,0.1650537859746413,0.17312952928035003,0.05942424656018861,,0.18048151503828389,,,0.5360195736395181,0.14168001854830783,0.0040293177667211156,0.1664711878600021,0.20419279795886397,0.30210587821621304
AXITINIB,0.00899301192650966,0.12536616567250805,0.07064931449833131,0.06846943875830797,0.1051758114612259,0.09860610037599399,0.0421768591157578,0.2162851056587014,0.3412248437204532,0.09677551005363193,0.13166312577910957,0.15676759748574143,0.15808442931947514,0.2053967659918356,0.00792234628429145,0.360286534346823,0.4854794259781779,0.24280723149688802,0.07357152179628626,0.14247330940840275,0.04187244107991725,0.12017233300930201,0.11386060975751199,0.21436207833779058,0.14576777516484327,0.20416053203327766,0.2260357297131646,0.00626340867375325,0.13425220239305902,0.08628725568454257,0.015026255538510152,0.054271703230947,0.1514736,0.05682746381925723,0.16887064965744697,0.17371907765157188,0.04243509001794758,0.11778060877851311,0.03808561178161568,0.15204882311493015,0.1293706055645855
BEXAROTENE,0.040540066855486424,0.18213661169307452,,0.034905925276684555,0.12296807501120728,0.06593973516887357,,0.00776092957571202,0.17107306692481303,,0.11633748887191356,0.09619911857293144,0.08206283619087777,0.13976229454110858,0.05575422617267454,0.04135819554470625,0.11527828764039699,0.04258893467667117,0.11271320268208387,0.124573302,,0.2945691455858705,0.17089469889817777,0.3403174658976263,0.22315659120766215,0.0469018127322378,0.06649253234538159,0.02777031322762752,0.06075157626500633,0.0006025012602140725,0.005036995501245904,0.0101144117963823,,0.11021861398612662,0.30274817245253166,0.07772396407531702,0.01990648,0.26977015223073475,0.0566421128302599,0.261981514985218,0.14383679049129278
BI2536,0.16842635264654301,0.40962330014572507,0.43122030190549704,0.422583557275224,0.398291589845262,0.2584344195892558,0.3551949065125714,0.3520984132040592,0.6075693340830459,0.31060750692622086,0.3628025507795834,0.158742371436492,0.2509302282323539,0.3348344155347761,0.15496349358166558,0.37909970426992595,0.49782708523103547,0.32134835590932453,0.3311766532864894,0.43743059753072044,0.3596248191136281,0.605595206183065,0.477081615218312,0.4614389166398408,0.6043228786400227,0.5926770093732993,0.44125470004614975,0.3220988010997112,0.22754855047133138,0.20993229250005455,0.4596878357208166,0.1499537031916911,0.08640272727888527,0.37028960088448465,0.49372177163337017,0.39387215441428947,0.29285899310811947,0.547586316559275,0.12793050918653393,0.4568921433066119,0.184618815384815
BMS754807,0.05924038728552697,0.17955866925177383,0.2242912031307652,0.15651592193685068,0.14729462584006472,0.20291060653429438,0.207904825633271,0.1436758287267656,0.3039331425443357,0.20873258933369127,0.17035362401666346,0.3349806392489374,0.13524578910238383,0.23811877715155377,0.0909011210618852,0.0965343128705439,0.3651912106487645,0.45119808324125177,0.22007529516490526,0.1172799119344077,0.158773810918771,0.2268964810863598,0.19229909426499459,0.2781459609615173,0.4491406520075117,0.47677200628853605,0.32178276531116545,0.1081644530828397,0.14106130368135866,0.21002200775431437,0.11575091445791814,0.10286705130816266,0.18372107435957602,0.20949557696100266,0.2527721348000445,0.11882311794961686,0.10707089655195229,0.42739759812904404,0.12925858680269114,0.3700256547929652,0.28587620995074825
BORTEZOMIB,0.3063147322522752,0.4514688707533497,0.49199872211028906,0.27371529071662876,0.3052911517595171,0.4036804800318922,0.32710510752397287,0.5886609009467284,0.584459567676775,0.38104088717724655,0.5409391990376043,0.42136729680989105,0.3327917332100802,0.41246980895036545,0.39187512344806025,0.39486040391621907,0.541919132526935,0.18164796550492301,0.596541865378036,0.3529023942422582,0.49845923674920845,0.504714892532334,0.5366434779804916,0.5654157949728684,0.4602292862332205,0.544767051376486,0.3367184764359778,0.5663013524291801,0.4812733987393284,0.39102374255534317,0.4426683914339802,0.39607875352468086,0.2558872427051394,0.4351777500061754,0.578872066891014,0.43319331361850527,0.43048113969222007,0.6107698556821656,0.2840121591695748,0.5265968745779495,0.2137488310436684
BOSUTINIB,,,,,,,,,0.24673634906619052,,,,0.08623856627640059,,,0.2495778093229395,,,,,,0.2143206281050505,0.17823914247266587,0.24105084244360284,0.03983554801852857,0.22140656086998975,0.18682189218852083,,,,,0.0172918957157045,0.17335759167155185,0.10499563211976634,,,,0.20001081361670003,,,
DASATINIB,,0.23036865315726057,0.2682846002706045,,0.27271939919988436,0.20352907739864667,0.012354067791147318,0.07433828599999966,0.493100076778028,0.2021057432644166,0.1443944247560746,0.3329783251094632,0.2785855262868744,0.5144335006912714,0.2225831338675616,0.6644624519639761,0.46393698059379496,0.2153776720921444,0.29650481422493014,0.06655305587888626,0.0019144893604571168,0.1086369090380936,0.012861999786394343,0.10831169117884415,0.03677622192510652,0.09537216553910145,0.18877969078961174,0.12502507994017142,0.19007221450661801,0.1800954378449435,0.20403749631823204,0.21577294728235977,0.21263924330200898,,0.007804129658793719,0.0158808210601367,0.24161976458644197,0.14088423620297397,,0.037020992777415135,0.23227338065791897
DOXORUBICIN,0.11670985590482302,0.21837859414031996,0.26967310850501863,0.37636876847147405,0.3056443831694199,0.20962671211865674,0.3786455774344227,0.3487470021569987,0.2878549305260059,0.230421708166476,0.25950235645085734,0.19863825416133846,0.21905954950706205,0.20696113975396424,0.13157433270734015,0.29260477234683263,0.31800688822518436,0.31965420177282344,0.2830026237110681,0.13166227365618594,0.27361873736106995,0.15220197624162962,0.20997322505453364,0.384540091400026,0.13179843898798652,0.44655006967195315,0.3371500675231907,0.2392123379709866,0.08544433531978536,0.12218973620380268,0.20378172381939805,0.09196761664507658,0.13325456414729622,0.30720348215013205,0.47072518820320863,0.38746130048072847,0.08048120782890344,0.311042046482688,0.21198824145141001,0.5168251854335477,0.23866867990598675
ENTINOSTAT,0.07325557028097847,0.01602719421665249,0.19498969345800193,0.16295266987282808,0.048362953784904156,0.15253132430027658,0.10533133454185938,0.23699251125878296,0.21930398581807953,0.1226699055642544,0.1255324629480975,0.014322814226798965,0.07995871580174974,0.19391545687829484,0.09250668812462122,0.230510464183149,0.3640266882890847,0.25302480978575204,0.14626013961341203,0.1922162342706287,0.16721748587162524,0.23761376365501186,0.2449574441502454,0.23454735360546816,0.25357115684867865,0.18739655887497667,0.23182203936632734,0.18090595903408083,0.0817434670086848,0.16801129405090998,0.1973324350982736,0.2217750084452027,0.2618683653225975,0.2505137210203099,0.20688561082414794,0.28157124484522644,0.01677917669907014,0.222544092792417,0.18802319063426137,0.2821478849536239,0.17654047910277926
