drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0031,CVCL_0062,CVCL_0418,CVCL_0419,CVCL_1425,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0033,CVCL_0532,CVCL_0098,CVCL_0553,CVCL_0006,CVCL_0588
AFATINIB,0.5536489890879407,0.14533253141277122,,0.3079888444984194,0.17848228404148117,0.5440563703165343,,0.07244218351207087,0.2751663165247674,0.43091026170007796,0.14695337062618188,0.3502513207133388,0.2400070543884407,0.4945458870923666,0.2209683167512177,0.229381536000031,0.25783307484495177,0.2329358825103025,0.21331750777793573,0.37861824065664523,0.4538035104521045,,,0.3355354784626246,0.2540436042383775,0.29055447913038696,0.2110942731837384,0.203491854487216,0.30672319939087866,0.27704608459091123,0.1791625089118905,0.15157729102029605,0.4213558181468826,0.250096016494279,0.2395980727451027,0.6126449886322677,0.19245650963992655,0.24053116049281129,0.20420663330322425,0.29848366621370537,0.24717231697939496
AXITINIB,0.038370389181232194,0.09705842773379841,0.07081277496260104,0.142825305327147,0.1487484527058672,0.11814876560874969,0.29936426967152197,,0.27101932540706003,0.12575291073057088,0.03390651829521092,0.08914863475265267,0.28598337670274393,0.10070085440649999,0.08725019174059552,0.48240621350255575,0.6230495768226219,0.10159149867892169,0.0653374516724336,0.20083430233206512,0.22285565945712543,0.18791511282100604,,0.333983656873956,0.2389262946538706,0.2655789318581606,0.3164721748890984,0.11517077914822979,0.0854449106920919,0.10394354770774174,0.044572095759888394,0.058173822014010605,0.09160473658901319,0.19023895154296594,0.2503640053075804,0.0590937079754649,0.03305863177272813,0.22668865683039385,0.15538906045593898,0.15154749913830978,0.0016178197567290166
BEXAROTENE,0.0,0.0,0.04021599999999967,0.03652195896959276,0.0,0.012691460656604652,0.09035663792448262,0.02450249999999535,0.03329113548217884,0.036309555137991965,0.0002059360096623542,0.000993813333335855,0.014983257142865723,0.053658000000001656,0.032375252624177904,0.14502100749713262,0.05213623281580417,0.022343890787098093,0.046951348518488194,0.08771974122450672,0.006113333333347071,0.23539266296706823,0.20729182435955837,0.5030662961292494,0.25401866640265364,0.07235369056941593,0.022186272301025822,0.02419567857142894,0.03118508511549666,0.07045997136054426,0.026572533859503537,0.0,3.070113631554733e-06,0.23607082296358878,0.38140394855550785,0.0,0.047673999999996865,0.1904904675253195,0.0,0.074172617203334,0.004917428005508855
BI2536,0.40428829012752127,0.585728049204165,0.2943931751023097,0.6618264000364279,0.5776770786704533,0.44997922446255356,0.6945941901962593,0.2611287563541306,0.6276015899803897,0.46219435850534885,0.19730597427102958,0.30413706873909024,0.40479026421661074,0.6275045237579154,0.17349583427088,0.7477005988617363,0.6302246290740752,0.31495139591853094,0.42714978965512834,0.43046076411769685,0.6338615284525638,0.738983382112129,0.3995601978730254,0.6602247298409138,0.7462128997317681,0.9899674270798821,0.6485815804300413,0.29581080773284113,0.6044159995994269,0.5465192259078665,0.8530961819481991,0.16227626392234398,0.23571380164943342,0.891776405361533,0.6768690704366362,,0.508372053932267,0.7877445794862549,0.2416696449829353,0.4646852978572402,0.20679958046000718
BMS754807,0.024911309581654564,,0.10854141182019848,0.1928730788054765,0.2219658795488785,0.2725454548207424,0.41613460745090597,0.024862723615664235,0.3198303352502645,0.11258852346179682,0.0715740647904467,0.18975128664631485,0.16814565250878452,0.17097893705124034,0.12818762718983587,0.061559833995380106,0.41141239765016824,0.42747711370058883,0.18577476875716806,0.009568024101550063,0.262081966866596,0.2846290200291418,0.2678417974061715,0.4202144824770925,,0.4107691369554461,0.40489877329208296,0.0813227806794917,0.17751773384703093,0.15863061671273188,0.1005680904071929,0.09676236851594501,0.26515019758409625,0.3897370635649964,0.24379126009351082,0.027304365061959494,0.15416507943313393,0.4950144943524495,0.13415978080383154,0.14614746278616,0.2161751690919417
BORTEZOMIB,0.12697069385846368,0.2982671527632261,,0.10743489514253837,0.23065734509078126,0.21566211631986232,0.4920451587926809,0.2581545620704445,0.22647526691169503,0.16338028352124953,0.25739687228887553,0.1608582302699746,0.37420456091086396,0.20278838842002653,0.2125400246242896,0.2737968312816783,0.3056723141703891,0.07702216625169454,0.2602063308398308,0.19498989808693123,0.34974055540274906,0.2607594179158206,0.16956820904339032,0.4322356658992853,,0.3448798399270906,0.20432779937041876,0.34308808640988664,0.24145292550061062,0.2099517821555726,0.155827552437289,0.21656907341081214,0.16783917162389264,0.42856027158206056,0.32202602190879653,0.3046267004276829,0.07305989765552387,0.4453056892935389,0.24829362428609686,0.10819537702849834,0.006003133263980391
BOSUTINIB,0.30700419401076573,0.16000936605158464,0.196407318157099,0.20878649423602696,0.19248006782356603,0.3211680652909315,,0.19801592392584058,0.24219751719288057,0.21439164499559785,0.16201066845666806,,0.2192161276458144,0.394153423069701,0.15615342735683532,0.38008530329239254,0.25285141048640986,0.08889730890947538,0.17072600196225118,0.2543556758708732,0.2557552798938779,0.49187426168582377,0.28570204132476973,0.3791130606596983,,0.23537660352875772,0.21209496260655838,0.10400336254999186,0.20833643733386928,0.28371224897271424,0.23120676587954536,0.04325901362716389,0.3291292434319494,,0.311067384209108,0.23140168632784172,0.19149996811162762,0.29646767420583636,,0.2628010759333869,0.0693112276025389
DASATINIB,0.18288664913959155,0.284084185589579,0.28433033890347803,0.15118715204422212,0.43354020957470163,0.29771362097045756,0.19720391819901792,0.07686138415154067,0.4931161476482961,0.39326309352695793,0.33933777475951804,0.33744143212439,0.4906978231963058,0.49293314987171377,0.330706449059273,0.8196202467169043,0.5625611813130214,0.17035686587731858,0.4202934248368051,0.13406181742882153,0.1357507331011916,0.327911969993999,0.3182323308890192,0.4031564315501196,0.13651744711420977,0.1615214427276592,0.2306412313576401,0.162017234884692,0.33960255462280803,0.4474632108043962,0.30081096284402675,0.23636053903225052,0.49216491419521297,0.19148425273645553,0.2011662294049386,0.11852688921759792,0.3921552679430853,0.25159650412427564,0.1398244483716671,0.24913411111230935,0.05142693304900866
DOXORUBICIN,0.2430887779196379,0.36382495963346645,,0.5437570321730778,0.4955352163836142,0.4471506817857999,0.8580869967505509,0.283259229571043,0.3479907160363716,0.3404707964137386,0.23935666657558077,0.18405232233863622,0.3708702946427341,0.4403779799190165,,0.48072447244515415,0.4387547608015303,0.28895731800249413,0.2986123956572331,0.41345002004965464,0.5584037468289521,0.6361266196672092,0.43682496428428297,0.7685131524215149,0.5128783255288152,0.5598103111605418,0.4635115597354257,0.2647396085201046,0.3541645803423888,0.24329861568085664,0.297587143223569,0.09713205460917478,0.26972082878497156,0.660054956969634,0.6388422172166134,0.516053275256357,0.2795816208134632,0.753076322950754,0.2538363294129933,0.6658277732128935,0.36192042665223173
ENTINOSTAT,0.1347339762714683,0.17649963314516787,0.09020504017995472,,0.1428860540912742,0.2168977713065956,0.33925422605099537,0.22201479710582997,,0.146624759487277,0.12012667471903435,0.10312768557876537,0.2647817572564359,0.19882071502392298,0.12582949935129567,0.3405384639133319,0.46960830869523035,0.23247395485692082,0.14478089845302838,0.2742513649329325,0.21653818522223414,0.33984804122482176,0.3091569705436731,0.39367559423285087,,,0.31850874445831473,0.19571663533667102,0.1795022734321158,0.28270273860680195,0.2169382889075236,0.203361453407078,0.43111660216393977,0.4366611226130182,0.31114124727648057,0.294585010335737,0.11165846405520968,0.32452990430899087,0.2213709739563136,0.31680108228917736,0.15450348314545576
