drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_0207,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_1256,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0374,CVCL_0375,CVCL_0031,CVCL_0062,CVCL_0623,CVCL_0418,CVCL_0419,CVCL_1408,CVCL_1418,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_0465,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0532,CVCL_0098,CVCL_1711,CVCL_0553,CVCL_0006
AFATINIB,0.41508457054653136,0.010655039983335658,0.1353900734263062,,0.052766016604382585,0.08792072295695239,0.01968390581667389,0.011237273933850437,0.00016681477422093443,,0.1439283406375213,,0.12108598413245195,0.2293132034236625,0.018363471793272513,0.26328665766605047,0.22390512617062724,0.0145668276069107,0.024895513654982555,,0.0006390379912165382,0.033617565269134266,0.056042416939101676,0.06545280957647338,0.05747993248181287,0.16579602308179206,,0.014427696382531932,0.024594129077601674,0.06872711345830271,0.0778827853847562,0.02085847938120507,0.0191927276001331,0.007782705478654105,,0.08101886931071231,0.038891394489413825,0.10992879831770314,,0.11663670568015361,0.05780359707234101,,0.22430416478071308,,0.0014447265256255202,0.09781083299972568,
AXITINIB,0.0016489790677599418,0.0682141240130817,0.0247973998712972,,0.035702510390802515,0.03497639128110852,0.17659660994319487,0.04054422858387768,0.060000870494884326,0.1194324215547991,0.03609336881625541,,0.12080412461040847,,0.13092956933663108,0.08981102586678806,0.05613639595488983,0.3101403536096217,0.3665738036333649,,0.0738156139980162,0.024270632483018563,0.042316662077864484,0.029314198082197603,0.0353520282151662,0.13799146792167497,0.22994564069331447,0.005317923922837878,0.02653877272548406,0.10901239090495436,0.18969890215793986,0.010197189012123882,0.06540214213887402,0.03586328568109584,,0.12757851334749412,0.10502450074880099,0.0044285406316714,,0.09112292461202842,0.11571520991795348,,0.016199496699471846,,0.09501130584447368,0.027854199969322382,0.011321793394303533
BEXAROTENE,,,0.11545683305361779,0.00863790917109777,0.14929004371272797,0.042664727063417576,0.14985089860603282,0.0069315943399075285,0.006886962913232461,0.147236848088703,0.13358989336930588,0.005486487110944908,0.09393426615962072,0.052275242455861966,0.09627520940515828,,,0.0011785412076895819,,0.0019206878473294051,0.18200745148002573,0.03485289407920032,0.09446504014786114,0.010669738886525072,0.13228318628852098,,0.038245388911145185,0.07258647194258863,0.22030061056478498,0.47829877416976174,0.14535121387277108,0.1080074953776254,0.467047853986231,0.03941144208146728,0.15953928245693327,0.12948125275368,0.08417947722455237,0.1792998369077004,0.10135146472698067,0.10531248969442211,0.0503103453550882,0.938788741592558,0.311960985339768,,0.06903712231329866,0.06802049832125806,0.013457195740411007
BI2536,0.0975443582398665,,,0.24941535068156423,,,0.5148112243459945,0.20501309362778533,0.1460700300738388,0.47124602738755894,,0.25665233199780774,,,,,,0.22792450941067344,0.1115297480608003,,0.23505542429642756,,,,,,0.06118498794381733,0.3563020905069781,0.36795107993443293,0.3209075174629556,0.20502538216655372,0.267284964642076,0.29430387552547,,,0.2606313613221896,,,,,0.2661228280971385,0.3811147776055929,,,0.38758416508921784,,0.061171533230597666
BICALUTAMIDE,0.0008133439368001361,,0.023720878540315005,0.017204455097191894,,0.0017087606955852733,0.05014187208041107,0.05812847312683191,0.06253978166333428,0.0493183480757963,0.009449818117637857,0.01299808664083035,0.015951504163707688,0.02379327693994637,0.028260836756000315,,,0.015581298064995435,,0.0015575128932367017,0.05322347261827762,0.00867338075676786,0.021695095688305712,0.02083015728756201,0.07074958453008957,0.0320501803648807,0.020696338983029593,0.01572229637870641,0.07989612722113017,0.00348729721456331,0.05764285109715264,,0.02418680811793785,0.024154327298690364,0.010590639178637454,0.012812310514780151,0.0702935350145227,,0.0691294703989991,0.025393938026349934,0.053828751397948675,0.018984708453363107,0.0396412386169331,,0.0926757645548823,0.011325330461819754,0.007162179156724493
BMS754807,0.04133089341805343,,0.103231196071524,0.07624716766707684,0.3355686144368244,0.39416166400008346,0.2216314761054317,0.16190440045817225,0.0004901987463727597,0.477447946979335,0.15818215368351424,0.1451824715607689,0.08650461138776941,0.21229442627290313,0.11676006215280753,,,0.0038882767815033234,,0.11386460218498642,0.2260104500679478,0.5487265134338575,0.12247800550463911,0.0140425454666876,0.09570985066659085,0.13877367498090115,0.014662011998966907,0.5754636618555691,0.15781472722170417,0.17447143723153652,0.2518229311467148,0.24105241141311806,0.46455011787339795,0.3842201674127178,0.18373847384235437,0.1636084630743455,0.3872851046027896,0.11056295374335016,0.1098731818007595,0.17040221258931076,0.005716178819182964,0.37041932309843706,0.29858250683891263,,0.15016622997854198,0.20974210391603781,0.02806510724386325
BORTEZOMIB,0.0949677389954246,,,0.13462164111607103,,,0.5760676829902112,0.3183594133476254,0.3522570273332984,0.5241069325384408,,0.2212314924627333,,,,,,0.27394841769447936,0.17180475547355478,0.3860602102971849,0.46191022690151196,,,,,,0.21311978232861606,0.48108998499307437,0.39159703196658396,0.591091983327811,0.27489522799804744,0.3049414881574907,0.35191922873884235,,,0.5414867983500743,,,,,0.4069417917917264,0.4140206049224044,,0.09740093877861927,0.433365393627043,,0.07131009582473563
CYCLOPAMINE,0.0132210886834943,,,0.0010858049892720142,,,0.06375111352840385,0.0255245913293873,0.03330972188528479,0.08440315469310089,,0.08041870031834113,,,,,,0.017679647936233032,0.0330387007045896,0.02444933277884139,0.046151555090269865,,,,,,0.0032452521483952103,0.06409364270419327,0.044109777931014296,0.015622703081013562,0.02000725713613759,0.04295595370027313,0.01077740110264575,,,0.0522488011189022,,,,,0.08920372931775351,0.0036302545015107794,,,0.11538605295153213,,0.07030921596432453
CYTARABINE,0.0189258799354585,0.20519411189901993,0.188453273482155,,0.3283314076538736,0.10320705531824978,0.7427129637451448,0.30110574860403577,0.39845801133582565,0.01659789171253334,0.18407562567249106,,0.25067949631140585,0.146273478043139,0.360854798708147,0.049580251085543973,0.27985906858577786,0.24773370614638202,0.14296733686154575,,0.07443751784853973,0.14729262353345202,0.2468902183975126,0.2108569676786119,0.046142116839812994,0.312946940754406,0.299750647713579,0.30932907866304604,0.18989076757398266,0.117096308529605,0.09220238970632075,0.07248904377394243,0.521409364299364,0.1607838180134265,,0.1564297760171583,0.30810513825562313,0.34242851718108963,,0.05176997520435114,0.03302253975155197,,0.20758947009195808,,0.29313800736518575,0.1038073160879469,
DASATINIB,0.023282291592795514,,,0.024910020435245178,,,0.08448736543797898,0.028860762859581838,0.0807580833737707,0.6939970400711561,,0.0599972696010633,,,,,,0.6296272992101021,0.05668976014863405,0.0312310591460541,0.6194559219836615,,,,,,0.05396157488961513,0.01703735084228373,0.1896184173571411,0.15380187321251648,0.03427307526131676,0.01911236400522953,0.0942060311795602,,,0.23347788716468298,,,,,0.06359963548376248,0.02516776646233191,,0.08836532741061146,0.03744684006830704,,0.0449980584300617
