drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_0207,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_1256,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0374,CVCL_0375,CVCL_0031,CVCL_0062,CVCL_0623,CVCL_0418,CVCL_0419,CVCL_1408,CVCL_1418,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_0465,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0532,CVCL_0098,CVCL_1711,CVCL_0553,CVCL_0006
AFATINIB,0.5205048222174744,0.1315189441589717,0.31729999904308837,0.21509083542610366,0.0289621019185375,0.37532465260757736,0.11546447840752805,0.12093362497765099,0.0035885009863005327,0.14299618157418728,0.2955846501876681,0.13868518499480284,0.17908962004551696,0.2849785141288405,0.07821714826066675,0.5733390511222896,0.000806962578037702,0.05082267774395155,0.18462943120192668,0.21358471803384224,0.1512147864258315,0.21608907249101222,0.13598170690523848,0.06978257516075938,0.38409064477523835,0.21036543711246422,0.13467085695177933,0.006167849850759149,0.0026557040291363397,0.10550827122279773,0.00991972097466483,0.06380757265129115,0.0345797430680379,,0.24670552144687835,0.12153960603587223,0.14023491871708352,0.049112596130228114,,0.11172160384791766,,,0.11577432355623074,0.004432249543393227,0.0020181174486662463,0.10781374619053147,0.22585225938679498
AXITINIB,0.00743224126157823,0.11851353349200809,0.0583878632217614,0.07531638263413877,0.07830514931735308,0.09860610037599399,0.17176666195285767,0.05103399953006695,0.22048611230343604,0.3071023593484079,0.1344847860080513,0.12059547690634553,0.15928239999489505,0.18390309947285935,0.1488751059190464,0.22004530332313363,0.007202665893237516,0.37775272600754617,0.5346475592406965,0.3383306118977787,0.0985670784659149,0.21852650834719922,0.07356309550527945,0.29455047076083934,0.16956277790968202,0.046059685187908976,0.22995399309049508,0.25244324897102915,0.1024745487817608,0.1832414023890576,0.1503370340254294,0.150336391769959,0.15131762888535644,0.006819958421031812,0.0720667542215789,0.12082698215375312,0.10537279574412602,0.012294209076962851,0.0448526472983033,0.09938182896000002,0.05682746381925723,0.15135460619943303,0.03471961910559348,0.0973393460979447,0.2849926975336716,0.03808561178161568,0.2141608266555496
BEXAROTENE,0.05450578100000081,0.20250596878474875,,0.034905925276684555,0.1229980659135965,0.07979191507344341,0.01656374948399094,,0.010329797265272701,0.18818037361729434,,0.1381402383890318,0.1387221451941883,0.08739025364631747,0.12295501815619028,0.10500548049670064,0.0619491401918606,0.02509858930236877,0.15343540084936844,0.1426806822117892,,0.03519746667493485,0.11083006000000109,0.116718408,0.22517008822000004,,0.0289846497409296,0.1261772544859598,0.1856099020156767,0.38355325806677515,0.2479517680085135,0.07553583842339633,0.06954259985046683,0.025247757665538054,0.0022498235797546963,0.07266454802794992,0.0005477284183764295,0.005036995501245904,0.013462282100984845,,0.07380040035679009,0.4522534427994609,0.01990648,0.33304957065522806,0.0032219445745070214,0.06293568092251099,0.21220502713802658
BI2536,0.15725737271898566,0.3890749123944729,0.3492884445434526,0.3803252015477016,0.35846243086073576,0.2166297311172911,0.49243517139910864,0.2830731500375963,0.3498643941851839,0.6015694486784157,0.24008341643017322,0.1725947240167927,0.4031139453106482,0.158742371436492,0.22956532406408647,0.2848427181044062,0.15904744785303176,0.29071763762061087,0.27968483386918525,0.3515123599899275,0.18058034010534846,0.24286029223602884,0.284252297961312,0.13589878857300408,0.43743059753072044,0.24074319858271565,0.1662103051859628,0.4553865413899426,0.38643610832683273,0.41189577107569836,0.4462721078559639,0.458049940947659,0.412639033369807,0.2936974766438151,0.38090098564285796,0.15922041709479862,0.170095087297998,0.266882287363569,0.13960233102029299,0.07547186549921245,0.2726677970149387,0.4450519953890262,0.19843840670672006,0.40729560735813847,0.42961822809340694,0.10914867685796767,0.2725153956576982
BICALUTAMIDE,,0.11837970267039379,,,,0.01613202998206586,0.0025866269482550793,,0.0724682383704992,0.005393975591505298,0.002585126348702409,0.05673840039999962,0.09731772,,,,,0.0014299990688371304,0.04970992243302202,0.007877895848028798,,,,0.0389022000000003,0.00803343200000069,0.043045077293721146,0.09241729975856837,0.05644140577544535,0.04630387379560872,0.010245832410251956,0.06404444684579125,,,0.002795911285734101,0.0007970301106986636,0.0018100931167996564,,0.0011375150806446162,0.0009472818424528272,0.0034496644335252568,,,,0.08628399999999935,0.004683763074541175,,0.000581099657858824
BMS754807,0.059242318795806784,0.15631711573485074,0.24947871261506221,0.14322030905557726,0.24701780803175338,0.2701897951939818,0.19592385742743157,0.1625617094827839,0.1596398096964062,0.388863108906505,0.27074209687002343,0.2275505453859192,0.14712411333749761,0.30148257532404366,0.134033674106396,0.21928940798275,0.11081078725818838,0.07819279342514056,0.3289761570400191,0.19076247758979015,0.15458102460483067,0.557034670668212,0.21187212912834985,0.08752725315466861,0.173443958649663,0.1746511920106481,0.2603293867445,0.5956422387648818,0.263784765795603,0.27398516821819957,0.26501640880719773,0.5297466736539289,0.3576155315099459,0.21723398595142066,0.14316143611877524,0.11379481763466573,0.24909948914177552,0.10417582301212633,0.13772467638140606,0.17014722741407395,0.1125910064649747,0.2827054635209302,0.126627477296476,0.38465783831613964,0.344502312403722,0.1974761222309478,0.29972078038230177
BORTEZOMIB,0.27568325902704766,0.4927554716209352,0.49199872211028906,0.22170938548046928,0.33921239084390786,0.44853386670210244,0.538551245776345,0.2885006611619794,0.5886609009467284,0.584459567676775,0.38104088717724655,0.1458920943488569,0.5409491535553853,0.5219374740592052,0.328057460563992,0.45829978772262825,0.43541680383117803,0.541646644603867,0.541919132526935,0.5801356040729019,0.4539232475393886,0.24635557766659633,0.48319891095620915,0.21390199428337847,0.4356819682003188,0.5538435963880094,0.3229914963989402,0.6206151661248107,0.5962705310894351,0.5654157949728684,0.45196960650673584,0.44126131161495363,0.3367184764359778,0.5074107009186926,0.5245113855909789,0.4331460588653956,0.482745361179436,0.49185376825997795,0.4400875039163121,0.284319158561266,0.596951646099006,0.578872066891014,0.3932875481539137,0.5496928701139491,0.4861614272036918,0.31591176310900404,0.5265968745779495
CYCLOPAMINE,,0.04934263998489659,0.05328125000000001,,,0.039062842498669384,0.05301650366918199,,0.023412628074000973,0.03135006828772467,,,0.058686506361401984,,,0.004044034401296154,,0.003613382582462179,0.04439858301966868,0.12007256547454803,,,0.0323817126803907,,,0.00369910788924738,0.02349027999999956,0.04161397427225242,0.06549297785464896,0.007151241676981913,0.0842289800299758,0.021218208982427,0.0006505676734487272,,0.00128460419528881,0.0016784257755016795,0.0010834724450275134,0.002500723445554397,,,0.0022629293102239085,,,0.037997435986478,0.10548982749075173,,0.024371559029929157
CYTARABINE,0.062600799999999,0.23951027153146764,0.2877787737882008,0.399945589483321,0.2753280316191136,0.09035554484888468,0.6952871973008146,0.23842211691958887,0.47874951903097374,0.3348791429110711,0.22766036743962495,0.08779010400736507,0.28542807811122906,0.1860042348656903,0.26926162515897917,0.15350898842781593,0.1624951728040176,0.2915615369047492,0.27383280008158917,0.3663672940878227,0.2753089105780917,0.23666018564571334,0.2245159058666893,0.14333049639233184,0.14843412204462683,0.14382090432053699,0.017064975195419285,0.4271297771007195,0.20381629206982022,0.19453607000583228,0.12914653380391178,0.17697955858926534,0.15024357635800262,0.11383258944676375,0.16990669235963063,0.08144799566533269,0.1788097044588654,0.31001910368774593,,0.04898927414425655,0.1418018827531581,0.40137493023438797,0.09383193369510302,0.22958757307662855,0.36001949950231865,0.08034744067572398,0.2732031687436083
DASATINIB,,0.1915782333141198,0.2347690860162764,,0.21579894406937739,0.21089690124653376,0.019648162831370483,0.011230970719224834,0.06758025999999968,0.49681557679750643,0.18389615650376978,,0.11538428110833147,0.34003256834183565,0.239340784319385,0.44932992541624855,0.21142044798800574,0.7068422655891965,0.432515786813028,0.015023076209245714,0.33894632237654926,0.1567979060442586,0.2016203210762773,0.12548821750002434,0.06050277807171477,0.002316532126153112,0.11439211577748266,0.07823859999999964,0.012861999786394343,0.09846517379894922,0.03677622192510652,0.0867019686719104,0.198053708286483,0.11225497113009889,0.2833005268289731,0.1684236683009998,0.15205057870533983,0.2097934076343297,0.14299863392045858,0.18555954365144037,,0.005748493314194048,0.21745727868232057,0.18107676094580416,0.005636066513099308,,0.04072309205515665
