drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0031,CVCL_0062,CVCL_0418,CVCL_0419,CVCL_1425,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0033,CVCL_0532,CVCL_0098,CVCL_0553,CVCL_0006,CVCL_0588
AFATINIB,0.543492097901243,0.17148209813236803,,0.342209827220466,0.24483166535182602,0.544057104185243,,0.122549952511604,0.305740351694186,0.43091026170007796,0.20637570851282802,0.389168134125932,0.296305005417828,0.454476444126428,0.27280039105088605,0.229381536000031,0.307668165640945,0.28757516359296603,0.292616608748883,0.258601352815139,0.476874295968536,,,0.414241331435339,0.282270671375975,0.29055447913038696,0.234549192426376,0.203491854487216,0.37867061653194894,0.32677448383326096,0.199069454346545,0.17329856593359697,0.468173131274314,0.250096016494279,0.23131368033499802,0.680716654035853,0.28967756270148903,0.296952049991125,0.227044947088155,0.409442614833615,0.305151008616537
AXITINIB,0.0444646989039306,0.0802135766395028,0.0874231789661741,0.15869478369683,0.143656630324579,0.10740796873522698,0.29936426967152197,,0.27101932540706003,0.103928025397166,0.0280219159464553,0.0669786887698367,0.28598337670274393,0.10070085440649999,0.0872515215447488,0.41351636849579104,0.634365352041677,0.0923559078899288,0.05939768333857599,0.17150106242184698,0.24761739939680602,0.18791511282100604,,0.333983656873956,0.223001349926267,0.265861748210541,0.351635749876776,0.14218614709657998,0.0854449106920919,0.0944941342797652,0.0550272787159116,0.0528831490032406,0.0757063938752175,0.17635451995998602,0.220745847633587,0.036692543340596996,0.0248374393484058,0.310958376996425,0.15538906045593898,0.103508981038392,0.00133704112126365
BEXAROTENE,0.0,0.0,0.0365599999999997,0.0409881255857186,0.0,0.00953528223636713,0.0678862794323686,0.0247499999999953,0.0275133351092387,0.0330086864890836,0.000154722772097937,0.0007466666666685611,0.0112571428571493,0.0487800000000015,0.0243240064794725,0.13739016377869098,0.0473965752870947,0.027591897129541004,0.0320684027856623,0.072495653904551,0.006113333333347071,0.17685399171079502,0.18844711305414397,0.453538203889086,0.19084798377359397,0.0665470502527359,0.0201674071046031,0.0181785714285717,0.0212998327405892,0.0640545194186766,0.0303066666666787,0.0,2.53728399302044e-06,0.268385404022745,0.34673086232318895,0.0,0.0393999999999974,0.17317315229574498,0.0,0.074172617203334,0.0033586694935515697
BI2536,0.616199192390674,0.585728049204165,0.22773491600875304,0.7353626667071421,0.644330541852437,0.49997691606950395,0.8088044796542719,0.28176533982242896,0.6315400000000191,0.570610319142406,0.17122302252421598,0.3379300763767669,0.5552678521489859,0.697227248619906,0.1577234857008,0.8307784431797071,0.778055097622315,0.43203209316670904,0.474610877394587,0.526857104277801,0.782545096855017,0.738983382112129,0.472495022713181,0.67719829521822,0.92125049349601,0.9899674270798821,0.8007180005309151,0.36272609069288897,0.6044159995994269,0.6072435843420739,0.8530961819481991,0.20034106657079503,0.261904224054926,0.891776405361533,0.8356408276995508,,0.508372053932267,0.9725241722052529,0.268521827758817,0.741979007413615,0.283675693360778
BMS754807,0.0205878591583922,,0.0862534258821139,0.18598544676960602,0.19308722152033803,0.247768595291584,0.35909404663977207,0.0205477054674911,0.24152039500503397,0.10235320314708801,0.0715740647904467,0.17250116967846804,0.152859684098895,0.128459006049016,0.0950491008303511,0.0420461949288847,0.374011270591062,0.474974570778432,0.18765128157289698,0.00790745793516534,0.262081966866596,0.19440545046727803,0.230399545782033,0.33316122183142105,,0.4107691369554461,0.30911640830078696,0.0813227806794917,0.20059621614556397,0.14420965155702897,0.0831141243034652,0.0726989996363223,0.23971945115148702,0.408291345840629,0.221628418266828,0.0225655909602971,0.15791782222883802,0.45001317668404495,0.110875851903993,0.120783027096,0.22550222305062
BORTEZOMIB,0.0788388112203362,0.257038308777553,,0.0887891695392879,0.15754207027578798,0.196056469381693,0.44731378072061895,0.21335087774416897,0.187169642075781,0.135025027703512,0.23027098936680201,0.146234754790886,0.281145425177208,0.152357917670944,0.175652912912636,0.205707611781877,0.277883921973081,0.0526071759112728,0.207926439210661,0.17726354371539202,0.30286265710384996,0.195912410154636,0.154152917312173,0.295222775697893,,0.25911332826979,0.16886594989290804,0.28354387306602197,0.224973747757997,0.17351386955005998,0.155827552437289,0.196880975828011,0.10421492050586,0.354182042629802,0.266137208189088,0.25175760365924205,0.0603800807070445,0.334564755291915,0.205201342385204,0.0983594336622712,0.00545739387634581
BOSUTINIB,0.341115771123073,0.163434687015177,0.19924037031223896,0.20878649423602696,0.19248006782356603,0.32441218716255704,0.275865199133846,0.265775068325446,0.26910835243653397,0.180276609053487,0.22223685659350897,0.356533433648754,0.243573475162016,0.39418346151678396,0.178269113927309,0.313068878206534,0.22986491862400896,0.0734688503384094,0.187092007901238,0.23689022710713503,0.255174606960047,0.5465269574286931,0.391909521707503,0.398396957584938,,0.194526118618808,0.251170574926191,0.0945485114090835,0.25720547818996203,0.350262035768783,0.250759291188478,0.0517283883856958,0.355172333701137,,0.311067384209108,0.23919960916667898,0.18184127344767198,0.37220127236823103,0.217475257292773,0.292001195481541,0.05728200628308999
DASATINIB,0.163339638123605,0.38969024086362,0.28433033890347803,0.150959842916961,0.59470536292826,0.6224452238148679,0.22074080928965603,0.117148886071545,0.547906830720329,0.43695899280773104,0.37704197195502004,0.46288262294155,0.673110868582038,0.614093796715951,0.330706449059273,0.8239214610743419,0.8032044320670709,0.18928540653035397,0.518880771403463,0.165508416578792,0.150832952231796,0.404829592585184,0.392879420850641,0.447951590611244,0.15168605234912197,0.232216515925653,0.216162169883513,0.222245864039358,0.37733617180312,0.497181345338218,0.357903400755218,0.262622821146945,0.49216491419521297,0.17393422451236099,0.223518032672154,0.14632949286123198,0.435728075492317,0.23300727267823101,0.105052177589532,0.27681567901367704,0.0386378159646947
DOXORUBICIN,0.37050568193817696,0.44916661683144005,,0.671304977991454,0.611771872078536,0.49683409087311103,0.8580869967505509,0.388558613952048,0.477353519940153,0.37830088490415403,0.29550205750071695,0.258997546533649,0.457864561287326,0.489308866576685,,0.5341383027168379,0.6018583824438001,0.353810094337972,0.33179155073025896,0.45938891116628294,0.5584037468289521,0.706807355185788,0.48536107142698104,0.853903502690572,0.569864806143128,0.767915378821045,0.635818326111695,0.29415512057789395,0.393516200380432,0.25119800728474,0.297587143223569,0.18277109709106895,0.34639018978867203,0.660054956969634,0.709824685796237,0.516053275256357,0.38351388314604,0.753076322950754,0.282040366014437,0.8220095965591279,0.44681534154596503
ENTINOSTAT,0.205355854704265,0.21790078166070104,0.08200458198177701,,0.15876228232363798,0.24754402853353896,0.418832377840735,0.22201479710582997,,0.172022117274902,0.133461504385658,0.114575052277197,0.294201952507151,0.19882071502392298,0.0945375652526639,0.299764397789852,0.521787009661367,0.31889431393267603,0.196992425063763,0.33858193201596604,0.178957177869615,0.4195654829936071,0.335302589582737,0.391165635896615,,,0.353898604953683,0.19571663533667102,0.184476623449779,0.265265582007554,0.16298894733848499,0.203361453407078,0.532243279631686,0.408072696695495,0.291711380246653,0.294585010335737,0.0996815813782345,0.376351604256396,0.196787140426877,0.275916647310985,0.127671216199011
