drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_0207,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_1256,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0374,CVCL_0375,CVCL_0031,CVCL_0062,CVCL_0623,CVCL_0418,CVCL_0419,CVCL_1408,CVCL_1418,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_0465,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0532,CVCL_0098,CVCL_1711,CVCL_0553,CVCL_0006
AFATINIB,0.529550908692747,0.162369066862928,0.391728393880356,0.245439957631524,0.0289621019185375,0.4170273917861971,0.14254873877472599,0.12093362497765099,0.00296570329446325,0.118178662458006,0.328427389097409,0.15050688618252403,0.19898846671724105,0.31587572405437203,0.10065132380472601,0.637045165475804,0.000733602343670638,0.0564703525366859,0.16784493745629697,0.213513983371334,0.168016429362035,0.24009896943445802,0.18216106810333396,0.047662437784823,0.47418598120399796,0.32063014344225604,0.140930172090205,0.005097396570875329,0.0026557040291363397,0.0720635688974781,0.00677530289916319,0.0580068842284465,0.0345797430680379,0.0,0.27411724605208704,0.150048896340583,0.17312952928035003,0.0491109475704038,0.0,0.11206482110529199,0.0,0.0,0.12880001686209802,0.00366301615156465,0.00203748407497367,0.164325173282322,0.20419279795886397
AXITINIB,0.00743224126157823,0.11397403923010001,0.0583878632217614,0.056586313023395,0.0966743706960218,0.0896419094327218,0.21205760734920698,0.0421768591157578,0.24498456922604003,0.37913871524494797,0.0799797603749024,0.105715876962275,0.131638347103219,0.16854312809202002,0.161747295646722,0.220110165974994,0.0072021329857195,0.360286534346823,0.5940528436007739,0.375922902108643,0.0961988901431431,0.26978581277432,0.0668832016329875,0.327278300845377,0.16956277790968202,0.0380658555271975,0.26567282798138897,0.311658332062999,0.11386060975751199,0.20360155821006398,0.140960459138596,0.18560048366661605,0.186806388192698,0.00626340867375325,0.0720667542215789,0.13425220239305902,0.11708088416014001,0.0136602323077365,0.0448526472983033,0.1514736,0.0516613307447793,0.15135460619943303,0.0350703223288823,0.0973393460979447,0.35184283646132297,0.0314757122162113,0.23794351991303303
BEXAROTENE,0.0409510000000006,0.202374012992305,0.0,0.0317326593424405,0.13663119445689698,0.0659437314656557,0.0150579540763554,0.0,0.00776092957571202,0.17107306692481303,0.0,0.16290198424172,0.129246339828167,0.0961952000000018,0.11256904827280902,0.0954595277242733,0.0619491401918606,0.0253521104064331,0.11527828764039699,0.17614899038492496,0.0,0.0319976969772135,0.10075460000000099,0.1440968,0.1537942,0.0,0.0289846497409296,0.155770969904096,0.206233224461863,0.380618489723885,0.306113293837671,0.0469018127322378,0.0632205453186062,0.028050821442047996,0.00204529416341336,0.066058680025409,0.000497934925796754,0.00416280619937678,0.0101144117963823,0.0,0.0911116053787532,0.373763175867323,0.0180968,0.37005507850580893,0.00292904052227911,0.0572142553841009,0.261981514985218
BI2536,0.139195332765738,0.43230545821608096,0.43122030190549704,0.422583557275224,0.44254621093917995,0.330177916654917,0.547150190443454,0.388303360819748,0.431931350845906,0.668410498531573,0.25679048136410604,0.202417856852534,0.447904383678498,0.158742371436492,0.250930523578623,0.27672265746675706,0.17218165953518397,0.313305540718947,0.42628384982347994,0.450696778211214,0.201822343978753,0.296989739402188,0.31583588662368,0.169093009224366,0.48603399725635604,0.29721382541076,0.38611606488206796,0.5059837859387729,0.477081615218312,0.508513297624319,0.550953219575264,0.565493754256369,0.412639033369807,0.32633052960423903,0.450627153137033,0.187813345757492,0.2099939349358,0.366093672652358,0.13960233102029299,0.0785479338898957,0.336626909894986,0.49450221709891795,0.24498568729224696,0.45255067484237604,0.5194396820007029,0.10572769354259,0.46150721546122403
BICALUTAMIDE,0.0,0.100519826815331,0.0,0.0,0.0,0.0133322561835255,0.00194337111063492,0.0,0.0724682383704992,0.00445783106735975,0.00213646805677885,0.0426283999999997,0.1081308,0.0,0.0,0.0,0.0,0.00107437946569281,0.033952545886908,0.00591877975058512,0.0,0.0,0.0,0.0389022000000003,0.00663920000000057,0.0391318884488374,0.0863446000000005,0.0435991895617218,0.0382676642938915,0.00931439310022905,0.0582127414192377,0.0,0.0,0.0031379475709698104,0.0008855890118874039,0.0015282335190825,0.0,0.0009400951079707571,0.000861165311320752,0.00348450952881339,0.0,0.0,0.0,0.0784399999999994,0.0038708785740009704,0.0,0.000581099657858824
BMS754807,0.0489605940461213,0.152273924674249,0.213063663706281,0.129352001600703,0.22456079466034098,0.250506921647277,0.331798772929993,0.17860179838107898,0.19708618481037804,0.36988384881577796,0.23192509925965696,0.252833939317688,0.163471237041664,0.37220071027659707,0.16697011000294298,0.21928940798275,0.11222360624924099,0.0965343128705439,0.365529063377799,0.261914618185421,0.125485774007084,0.557034670668212,0.23618184681106102,0.0795678553170976,0.130311013260453,0.158773810918771,0.2603293867445,0.541960015556467,0.263784765795603,0.37583699344060295,0.498683348075506,0.5297466736539289,0.39726267322366104,0.14837373536740697,0.124938400209045,0.14997999914142301,0.259286429326314,0.142902363528294,0.12699635963970698,0.18372107435957602,0.15444582505483498,0.280857927555605,0.104650807683038,0.42739759812904404,0.344502312403722,0.21941791358994198,0.41113961643662794
BORTEZOMIB,0.37816633611392,0.5016320786148329,0.54666524678921,0.337920111995838,0.37690265649323096,0.498370963002336,0.6648780812053641,0.36345011947108097,0.654067667718587,0.584459567676775,0.470420848366971,0.145905267328464,0.601043554486227,0.642230295396877,0.410853991617383,0.5658022070649731,0.48379644870130895,0.541646644603867,0.541919132526935,0.6049982836348621,0.504359163932654,0.224256747536942,0.596541865378036,0.32602041500286305,0.484091075778132,0.6153817737644549,0.44306103758428,0.675385471430126,0.5962705310894351,0.6980441913245289,0.5021884516741509,0.605296723751651,0.46189091417829603,0.5663013524291801,0.64754492048269,0.534748220821476,0.482745361179436,0.546504186955531,0.488986115462569,0.284319158561266,0.596951646099006,0.64319118543446,0.5314581971508889,0.678633172980184,0.6002076541783211,0.35063229527108,0.650119598244382
CYCLOPAMINE,0.0,0.0370718557362108,0.0484375,0.0,0.0,0.0266804470313977,0.0589072262990911,0.0,0.0145374000000006,0.0285000620797497,0.0,0.0,0.0440920408425259,0.0,0.0,0.0027621299100445,0.0,0.0027147878155238,0.03669304381790799,0.14823773515376298,0.0,0.0,0.029437920618537002,0.0,0.0,0.00277919450732335,0.0213547999999996,0.0312651947950807,0.0595390707769536,0.00537283371674073,0.0842289800299758,0.021218208982427,0.0005914251576806611,0.0,0.0011678219957171,0.0011463873884992,0.000984974950025012,0.00206671359136727,0.0,0.0,0.00140510106129357,0.0,0.0,0.037997435986478,0.0808455612318141,0.0,0.0166461027456657
CYTARABINE,0.062600799999999,0.26369004323949197,0.19655677466580201,0.399945589483321,0.33991158167656704,0.0746740040073427,0.695558196635897,0.256018079791573,0.441514757882373,0.45936782292328,0.18814906399969,0.0725538049647645,0.28367407066318395,0.20814733953814604,0.24478329559907197,0.153505466692004,0.18055019200446398,0.26505594264068105,0.36306213518403097,0.452305301342991,0.33988754392357,0.259610315630465,0.16868212311546898,0.118454955696142,0.15899986939975,0.14382090432053699,0.0128211684413368,0.5273564334388661,0.31064821226919703,0.21714822863954603,0.130195242906207,0.17731078358010502,0.136585069416366,0.123439557492069,0.176505679093524,0.0740436324230297,0.15521282243160098,0.310196847540211,0.0,0.0672006504036441,0.157557647503509,0.495526805022926,0.0853017579046391,0.23190663947134196,0.4444685179040971,0.0498894391687875,0.33728786264642996
DASATINIB,0.0,0.190387316658893,0.243895091155095,0.0,0.266453942440314,0.219227755273439,0.0178619662103368,0.00928179398283044,0.0614365999999997,0.49681802863205105,0.138040942056155,0.0,0.10848566848690801,0.3706956353624221,0.25325956935170396,0.5715927785458571,0.216092146759996,0.723116766237722,0.48057309645892,0.0102609631918897,0.385949395338706,0.142543550949326,0.223390680431032,0.15492372530867202,0.0550025255197407,0.0015822226119480301,0.10421462648446302,0.0646599999999997,0.0106297518895821,0.0895137943626811,0.030393571838931,0.0867019686719104,0.198053708286483,0.113659163581974,0.302939978349481,0.19616289813580398,0.163723125313585,0.23170495966990698,0.19615724817621202,0.212638211966496,0.0,0.00644969393288737,0.268465776151013,0.15047415459116198,0.00512369683009028,0.0,0.0336554479794683
