drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_0207,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_1256,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0374,CVCL_0375,CVCL_0031,CVCL_0062,CVCL_0623,CVCL_0418,CVCL_0419,CVCL_1408,CVCL_1418,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_0465,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0532,CVCL_0098,CVCL_1711,CVCL_0553,CVCL_0006
AFATINIB,0.42894385176438204,0.008005289243678179,0.0948188977386922,,0.0482993622887103,0.072661754509878,0.0178944598333399,0.008442730228287329,0.00015164979474630402,0.0,0.172679188055298,,0.0827033564185861,0.22966521488887898,0.0151764229696467,0.270728097911143,0.307140090769036,0.0145668276069107,0.0205748046735393,,0.000580943628378671,0.0252573743569754,0.0509476517628197,0.049181360791686,0.0475040764312503,0.204686448249126,0.0,0.0145703238191235,0.018477933191286,0.0631102970232348,0.0626640482195606,0.0189622539829137,0.0191927276001331,0.00643198799888769,,0.073653517555193,0.0265633457341806,0.0825911332214148,,0.103939102999733,0.0525487246112191,,0.153202762639651,,0.0011868469859689901,0.080835399173327,0.0
AXITINIB,0.00164822094874621,0.0682141240130817,0.0247973998712972,,0.0268238244859523,0.0289061084967839,0.132679646839365,0.0360579956295037,0.0495874962767639,0.108574928686181,0.0328121534693231,,0.17083228532331501,0.0,0.133413408627936,0.0816463871516255,0.0549244262260125,0.38047581036447,0.756160252324775,,0.0738156139980162,0.0200583739529079,0.0349724479982351,0.0220241908957157,0.0321382074683329,0.157854362950977,0.25549515632590497,0.0048344762934889795,0.0219328700210612,0.0900928850454168,0.172450130556303,0.00927017182920353,0.0540513571395653,0.0326029869828144,,0.105436787890491,0.0867971080568603,0.0044285406316714,,0.0684620019624556,0.111865812217416,,0.0133880138012164,,0.0785217403673336,0.0343909482704397,0.00935685404487895
BEXAROTENE,0.0,,0.105863487617399,0.0146283750293786,0.14928351847512802,0.0352601050110889,0.18500110939016398,0.0057285903635599395,0.00689338448070194,0.147236848088703,0.158262829336364,0.00453428686854951,0.10437140684402302,0.0360934620241702,0.120094491114477,,,0.0010714010978996199,,0.00174607986120855,0.20223050164447304,0.0427958563920884,0.11371095449928399,0.0096997626241137,0.13228318628852098,0.068308754230966,0.0470628660030047,0.0495775370142672,0.250802587954408,0.49705655317886405,0.120124970142786,0.103465993253581,0.467047853986231,0.0358285837104248,0.19696207710732502,0.12948125275368,0.0839404769274069,0.22135782334284,0.119130398716241,0.0987200877937475,0.0377989071037477,0.938788741592558,0.311960985339768,,0.0947011280017814,0.0755783314680645,0.0111216493722405
BI2536,0.10992178409650098,,,0.17035404049010597,,,0.46801020395090404,0.186375539661623,0.12071903311887501,0.47124602738755894,,0.316854730861491,,,,,,0.22307972367074103,0.0837939504589033,0.0,0.23742972151154298,,,,,,0.0379910636654335,0.439879124082689,0.27644709236245896,0.2411025675905,0.14003509471112197,0.267284964642076,0.29430387552547,,,0.32176711274344394,,,,,0.219936221567883,0.28633717325739505,,0.0,0.43085238707058504,,0.0505549861409898
BICALUTAMIDE,0.0008133439368001361,,0.021564435036650002,0.0156404137247199,0.0,0.0014121989219713,0.0501316477590536,0.0528440664789381,0.0547905798057929,0.0493183480757963,0.008590743743307141,0.0107422203643226,0.0131830612923204,0.0178762411269319,0.023356063434711,,,0.0173131678661483,,0.00128720073821215,0.043986341006841,0.00788489159706169,0.0197228142620961,0.0156500054752532,0.0786066700927133,0.0320501803648807,0.0128507981838235,0.0118123939734834,0.0718109538533638,0.00348729721456331,0.0524025919065024,0.0,0.0219880073799435,0.0199622539658598,0.007233549059925859,0.0116475550134365,0.0528125732641042,0.0,0.0519379942892555,0.0190788414923741,0.0489352285435897,0.014263492451813,0.0396412386169331,,0.11441452414183,0.0102915792826567,0.006511071960658629
BMS754807,0.0445093969136302,,0.119582341201075,0.0584481270190064,0.372854016040916,0.48661933827170795,0.201483160095847,0.22209108430476301,0.00044563522397523603,0.615765175860195,0.19528660948582002,0.131951141983312,0.0786405558070631,0.20912951998808202,0.0981709844342377,,,0.00353479707409393,,0.10351327471362401,0.344475613577119,0.590836401463024,0.136428703151551,0.0140425454666876,0.11816030946492698,0.129969220173799,0.0121173652884024,0.63940406872841,0.0979905292247202,0.158610397483215,0.307073213560948,0.18110624448769197,0.573518664041232,0.426911297125242,0.20115445932552398,0.122921459860515,0.47812975876887603,0.09137434193665302,0.122081313111955,0.175778689088684,0.00519652619925724,0.627308376261134,0.45508688742403997,,0.15016622997854198,0.20036334858717397,0.0255137338580575
BORTEZOMIB,0.0949677389954246,,,0.111257554641381,,,0.57605922985571,0.485230015771415,0.434885218929998,0.524094131195786,,0.24581276940303698,,,,,,0.20582150089742998,0.12907945565255802,0.410483111701068,0.42641947157393395,,,,,,0.21311978232861606,0.5345455323125571,0.39159703196658396,0.44409615576845296,0.274894947607567,0.323277028643493,0.482742426253556,,,0.6249106197612929,,,,,0.369947083447024,0.311059808356427,,0.0804966436186936,0.433365393627043,,0.0690868863171629
CYCLOPAMINE,0.0132210886834943,,,0.00098709544479274,,,0.0478971551678466,0.0255245913293873,0.0275976606354007,0.10963322084674301,,0.0604197598184381,,,,,,0.014611279286143,0.036709667449544,0.0202060601478028,0.0419559591729726,,,,,,0.0032452521483952103,0.0624292179085681,0.0400997981191039,0.0175398648833339,0.0181884155783069,0.0390508670002483,0.008906943060037809,,,0.0522488011189022,,,,,0.0901047770886399,0.00300021033182709,,0.0,0.10164975979809598,,0.0781213510714717
CYTARABINE,0.0189258799354585,0.266861684549625,0.188453273482155,,0.361358690515905,0.111201093229851,0.7552827184975229,0.41303943567083096,0.44273112370647294,0.0150889924659394,0.18407562567249106,,0.291735662907755,0.146273478043139,0.360854798708147,0.0450729555323127,0.308118871683989,0.3058440816622,0.172442546636843,,0.0420180382434134,0.14729262353345202,0.33866970973595695,0.260317244047669,0.046142116839812994,0.312946940754406,0.33305627523731,0.2812178795911,0.156934518656184,0.117096308529605,0.0838203542784734,0.0544620914905653,0.643715264567116,0.177420792864173,,0.186034649946864,0.42264079321759,0.422751255779123,,0.0470636138221374,0.0248103228787017,,0.217224023202941,,0.200217203309327,0.115341462319941,0.0
DASATINIB,0.019241563299831,,,0.0225068075490292,,,0.0938748504866433,0.023768131860114002,0.0807580833737707,0.951984965804055,,0.054542972364602996,,,,,,0.7566712509489849,0.0468510414451521,0.034701176828949,0.6882843577596239,,,,,,0.0351855186164098,0.0140804552415568,0.26010756839114,0.14142603849204,0.0311573411466516,0.0143594019573475,0.0942060311795602,,,0.30188678919264506,,,,,0.0525616822179855,0.0189089154487843,,0.0730291962071169,0.0281357321579182,,0.0449980584300617
DOXORUBICIN,0.12440575763185101,,0.16890840700078397,0.657473757213109,0.6773672189218549,0.5974300563075781,0.7045052251195609,0.7937473594937141,0.150357039590828,0.35368282571181603,0.0141610941160313,0.4892410626265779,0.405757020026881,0.26880038461262806,0.0601223093829813,,,0.209396734440781,,0.231139368757597,0.7733800711837671,0.797139472969461,0.141222884942489,0.135173606644142,0.137240161025361,0.47472953556501596,0.00151539049696855,0.38624135394692294,0.319056167961066,0.776037094285626,0.26988099089246603,0.555318500028109,0.45131160439617896,0.36164693089593003,0.321870962641357,0.40479538049265795,0.42119358888968994,0.551216292321584,0.128855491369555,0.179534929918707,0.317612584657461,0.653912385210448,0.601295366666449,,0.678832145924661,0.220466950426078,0.135552315509584
GEFITINIB,0.0907212719169176,0.00763020223989425,0.0270413414571754,,0.0992598831352804,0.0297552693025074,0.0298470510415128,0.0939395606737291,0.0168374975021457,0.00129888919536193,0.0640138527384642,,0.0119037494804227,0.100655681031608,0.0130040923701818,0.0758059744501569,0.12311038461188901,0.0296777118319087,0.101467178911901,,0.0,0.131065877039203,0.0459093629464046,0.00673178179072599,0.0105373421203833,0.0917927807007447,0.0,0.0667251799880986,0.15908007714804198,0.0935539077413747,0.19038757503756895,0.0165169853425732,0.00556895574244848,0.00779093085448004,,0.0913590682889426,0.00122577153746332,0.0253287736550781,,0.0735816251865973,0.113931503629465,,0.13849800621150402,,0.021170672004009,0.0,0.00517383908332748
IMATINIB,0.0260774499209582,,,0.0341938114600226,,,0.0162966192091717,0.0146665879732618,0.007480765136812071,0.48543672953438,,0.0937228826604753,,,,,,0.288315995937387,0.0256334199796645,0.0,0.0621815268612005,,,,,,0.0453140254723241,0.0183859049784338,0.0812533214636868,0.0008054411134639191,0.021710130539043002,0.0144072392818006,0.0162729670212641,,,0.0538865059725297,,,,,0.0163004206539284,0.0,,0.0354055490792461,0.0,,0.0736463868649013
LAPATINIB,0.354667121471252,,,0.0,,,0.0026001557341797602,0.0147115273885184,0.0,0.0139928018923351,,0.0500357475449358,,,,,,0.0537923771528185,0.0867905227015978,0.0,0.0549643738246466,,,,,,0.0243064939609127,0.0159776865082494,0.0685920989740823,0.00851787733012923,0.0012379096318700699,0.0,0.00115042267041865,,,0.0611623207374423,,,,,0.0175981472481238,0.0,,0.0293790451247467,0.0208465802454449,,0.0601574271793312
METHOTREXATE,0.0197422137771707,0.0,0.0156463213734243,,0.0809649628540463,0.0505882765477325,0.512870713678426,0.16521831668437303,0.21558884494047,0.0,0.0633878153893828,,0.0583531379714574,0.0358952850438877,0.0144897532017516,0.10170810742571902,0.0094209203170967,0.0401209867798566,0.20281778733252698,,0.109275515001836,0.0268435913224551,0.043332241770256005,0.0226060927116273,0.0115946031106456,0.009030638820823741,0.0,0.22174044561426104,0.610849945634568,0.554935851168785,0.178418861925762,0.34942630333159996,0.102173307368078,0.00252200448432368,,0.0433210229833267,0.000973794653419303,0.0454303473333857,,0.0179044118730088,0.39512281389435605,,0.0054433158284731605,,0.5672671811152911,0.0120307337952899,0.26563649913939397
NAVITOCLAX,0.0338230121372364,0.0023661553475502898,0.16027721197099698,,0.0185020272220075,0.0472276702974634,0.758796114847155,0.253528146011127,0.0939653385472911,0.4923927166522779,0.0239848901499302,,0.20802054332200895,0.151424829131088,0.0443692677372338,0.0122990645399733,0.11042060623983302,0.0118806752572317,,0.40436702218032106,0.000185177894821896,0.0443560067462697,0.0441611833901516,0.0904342910946832,0.08451911697914999,0.07145625586649601,0.0642439708415906,0.55118770291114,0.168604989580005,0.8768244778581971,0.6112625073869611,0.686218272378929,0.352441527868302,0.24743247271563298,0.123049508455835,0.0921745416403413,0.164773953970335,0.10332452989763699,0.0251724017169369,,0.50892638195996,,0.0535889113672072,0.6183869863297329,0.40770676845508,0.029519742706026003,0.243810483448731
NILOTINIB,0.0,0.0042257480538951606,0.0361963633968648,,0.0401316561530109,0.12348571158034499,0.0643024130301586,0.0777958464074881,0.0401732126424054,0.0755508314601492,0.0180191841756146,,0.10217728517099099,0.0205181321531776,,0.029187421711361,,0.8111042442800759,0.5261719774529211,,0.0,0.0228571139684263,0.0346161786082953,,0.00702679301147898,0.007302558515841571,0.0725772537143521,0.0300736118813825,0.054041804695895,0.0774293786242309,0.0877239825934559,0.0141317853076514,0.0145284736096643,0.133665946903026,,0.00657985674440291,,0.0768528548279766,,,0.16640667745356902,,0.000590881202482827,,0.0192589758830821,0.0188709560413933,0.000420352681703227
OLAPARIB,0.0040350994408315894,0.0385001176939192,0.05689567565463,,0.0373456949358685,0.0204548727607095,0.0610214645794921,0.0314492707023224,0.0125245253064051,0.000370005928514016,0.0119287489985519,,0.0696979789783686,0.00421953814377486,0.0146486468580658,0.0298539655083705,0.0156834403227846,0.0212295249264284,0.00942062373416788,,0.0149789302986567,0.0283157878727136,0.0228728846119785,0.0222032531511902,0.0276465303735238,0.00620717250325428,0.00811133589638812,0.03350174866964101,0.0222565651601791,0.20323761257974302,0.140142290389222,0.0434683136643809,0.0299257562189454,0.019605984251562,,0.0321428525710942,0.0029377615883683698,0.0712789463016798,,0.0133463336143057,0.16523464675585997,,0.0,,0.0718402993435902,0.0312722927113307,0.0
PACLITAXEL,0.12695897443169,,,0.21071163185024,,,0.426394357908471,0.233783439647253,0.134688394346169,0.371035082167039,,0.274952862971507,,,,,,0.342248645043925,0.0239351539703739,0.00251386179796527,0.47757284885447204,,,,,,0.0484594111056127,0.37975488871608293,0.31644947968533,0.543342112133421,0.353088384081875,0.453498676651103,0.35544510653237604,,,0.43942629350842605,,,,,0.484671084285784,0.5557667629440589,,0.000674902827965458,0.5040429058042191,,0.05244432867658401
PAZOPANIB,0.0504635682656784,,0.112278047018671,0.0336194088921953,0.0546638347133098,0.13851845002579502,0.0337974988350142,0.00641685468324515,0.0461458843716787,0.611171377596772,0.0847456878869705,0.0538379247862349,0.0186609964949932,0.0835669069322362,0.13851155146342997,,,0.0666306370607296,,0.40593843569533006,0.270119687716105,0.08856674563665301,0.11259973948394099,0.0409151296148577,0.111963928825703,0.134369522131394,0.0819320055977119,0.0461067941302592,0.13331418155584,0.32333229148375997,0.0373757111219518,0.0950702958590001,0.0406780170158928,0.129150796010547,0.14571762103766597,0.242000043440153,0.0565985480979914,0.16147904310095498,0.0635127095275424,0.21875379021282199,0.0345814454133485,0.00457442907257136,0.253382740549879,,0.174666800058974,0.0947898621237426,0.0739102707410083
